,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y.1,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,avg_daily_high_range,avg_daily_low_range,Earnings_BMO,Earnings_AMC,DJIA
CRM,102.73,1.34,0.001,774960000.0,0.0204,106910000000.0,50.11,2.75,-0.6797,728810000.0,-0.0429,1020000000.0,3.18,0.55,0.847,0.0132,-0.1329,12530000000.0,8.53,0.774,-0.0011,1.29,-0.0129,19.33,7.14,0.0556,0.034,171.78,0.3103,4.45,30.99,0.32289999999999996,0.066,0.0072,,34.64,0.242,0.027999999999999997,-0.1441,1.36,,0.9,0.28,0.741,0.3477,6.12,29000,0.9,0.256,0.038,54.03,1,0.3,-0.077,0.065,0.89,130.4,1,0.25,2019-11-27,0.0,7420000.0,137.96,1.7,0.0297,0.0288,0.0075,6608644.0,0.057999999999999996,0.0352,0.0455,0,1,0
CSCO,17.62,2.44,0.001,4670000000.0,0.0002,200490000000.0,12.97,3.31,-0.1166,4490000000.0,-0.11939999999999999,11670000000.0,1.93,0.72,0.772,0.0085,-0.1266,50270000000.0,3.99,0.131,,1.39,0.0085,9.61,4.47,0.0895,0.011000000000000001,52.76,0.09570000000000001,9.12,4.71,0.0915,0.027000000000000003,-0.0095,1.32,26.95,0.03,0.142,-0.1324,1.14,0.0308,2.0,0.003,0.623,0.1491,1.48,74200,2.1,0.077,0.266,45.36,1,0.58,0.605,0.025,1.01,41.07,1,0.42,2019-11-14,3.3480000000000003,27270000.0,42.92,2.0,-0.0337,-0.0528,-0.0401,27448821.0,0.045,0.0269,0.0336,0,1,1
CSX,17.71,3.55,0.0031,872300000.0,0.0118,54770000000.0,14.8,4.24,0.0,841820000.0,-0.1416,3100000000.0,0.76,0.99,0.773,0.022000000000000002,-0.16269999999999998,11970000000.0,4.58,0.18899999999999997,-0.012199999999999999,2.96,-0.024399999999999998,16.14,3.89,0.1101,0.18,80.74,0.10060000000000001,1.47,42.86,0.2321,0.465,0.0106,0.88,37.75,0.037000000000000005,0.094,-0.1764,1.29,0.013999999999999999,1.3,-0.006,0.7120000000000001,0.2965,2.06,24000,1.4,0.141,0.396,42.61,1,1.0,1.0659999999999998,0.552,0.98,60.98,1,1.0,2019-01-16,0.115,6270000.0,62.79,2.2,-0.0273,-0.07339999999999999,-0.060700000000000004,6139956.0,0.0297,0.0279,0.0338,0,1,0
CTAS,28.67,6.02,0.015,109600000.0,0.0317,18910000000.0,20.9,8.26,0.0,90760000.0,-0.0888,665700000.0,1.79,1.71,0.6759999999999999,0.0353,-0.1198,6560000000.0,2.88,0.335,-0.0143,4.35,-0.0889,31.32,5.51,0.1277,0.11699999999999999,201.91,0.08929999999999999,,,0.16,0.28,0.027200000000000002,2.05,31.57,0.172,0.132,-0.20600000000000002,1.07,0.011899999999999999,2.7,0.085,0.449,0.1709,5.19,41000,3.1,0.054000000000000006,0.147,53.09,1,0.0,0.322,0.126,1.18,164.81,1,0.76,2019-12-20,0.209,736500.0,172.56,2.5,0.0281,-0.013600000000000001,-0.0795,865680.0,0.047,0.027000000000000003,0.0323,0,1,0
CTL,24.39,0.65,0.005,1110000000.0,0.045899999999999996,17690000000.0,13.01,1.23,-0.058600000000000006,1070000000.0000001,-0.15109999999999998,696000000.0,,0.33,0.7659999999999999,0.0809,-0.27140000000000003,22990000000.0,0.77,-0.603,-0.0199,7.38,-0.177,21.37,0.75,0.0917,0.024,20.86,-0.0662,0.35,45.35,-0.0742,0.077,0.0528,2.16,19.57,-0.18100000000000002,0.028999999999999998,-0.34090000000000004,0.97,0.1354,0.8,-0.008,0.534,0.1417,0.68,46000,0.8,0.442,0.126,40.51,1,1.6,0.494,0.078,1.27,15.51,1,1.57,2019-02-07,1.14,11750000.0,15.95,2.7,-0.014199999999999999,-0.128,-0.1699,14927186.0,0.028399999999999998,0.039599999999999996,0.0462,0,1,0
CTSH,18.25,3.49,0.002,579700000.0,0.0098,36930000000.0,12.65,5.03,-0.0638,575880000.0,-0.1144,2049999999.9999998,1.44,1.06,0.917,0.009399999999999999,-0.168,15820000000.0,2.33,0.4,-0.0163,1.39,-0.2027,18.96,3.36,0.12119999999999999,0.095,82.45,-0.1097,8.22,7.75,0.1266,0.133,0.0034999999999999996,0.8,19.16,0.157,0.16899999999999998,-0.2515,1.01,0.0126,3.2,0.151,0.4,0.0711,1.91,274200,3.2,0.083,0.175,45.13,1,0.07,-0.027000000000000003,0.091,1.24,61.1,1,0.06,2019-01-29,0.305,3930000.0,63.7,2.2,-0.019299999999999998,-0.062,-0.1573,4868746.0,0.0426,0.023399999999999997,0.030899999999999997,1,0,0
CTXS,27.13,3.78,0.006999999999999999,136510000.0,0.0048,14010000000.0,16.95,6.06,-0.0516,133340000.0,-0.0694,555500000.0,2.5,1.59,,0.0724,-0.0705,2950000000.0,4.75,0.001,-0.0199,5.13,-0.0301,5.58,18.39,0.0863,0.023,113.47,0.1449,13.43,7.64,0.10869999999999999,0.174,0.0018,1.4,12.99,0.099,0.152,-0.1213,1.2,0.013600000000000001,0.8,0.018000000000000002,0.855,0.2263,2.52,7500,0.8,0.06,0.226,44.83,1,2.89,0.314,0.043,0.99,100.74,1,1.01,2019-01-23,0.0,1880000.0,102.64,2.9,-0.0254,-0.0263,-0.029900000000000003,1858904.0,0.0189,0.0159,0.025,0,1,0
CVS,42.75,1.56,0.001,1310000000.0,0.0242,87480000000.0,8.81,7.58,-0.0625,1290000000.0,-0.1597,1600000000.0,3.4,2.04,0.695,0.0273,-0.1637,188060000000.0,0.47,0.018000000000000002,0.022799999999999997,3.81,0.026600000000000002,35.9,1.86,0.0908,0.025,92.41,-0.0872,31.84,2.1,0.1258,0.083,0.019799999999999998,2.0,38.81,0.106,0.099,-0.2034,1.13,0.029900000000000003,1.9,0.085,0.156,0.11109999999999999,2.21,246000,2.4,0.024,0.031,40.33,1,1.72,0.081,0.016,0.77,65.23,1,1.66,2019-02-05,0.655,9240000.0,66.82,1.9,-0.0387,-0.0924,-0.0489,7093172.0,0.024399999999999998,0.0212,0.0331,1,0,0
CVX,17.42,6.36,0.0005,1970000000.0,0.0137,218500000000.0,13.37,8.29,-0.0305,1910000000.0,-0.0816,12190000000.0,0.33,2.08,0.672,0.0097,-0.11560000000000001,155390000000.0,1.41,1.214,-0.0009,2.43,-0.1061,80.8,1.37,0.011699999999999999,0.055,141.19,-0.1377,4.94,22.42,0.5346,0.094,0.0187,4.48,37.45,-0.223,0.017,-0.1722,1.07,0.0404,1.0,-0.102,0.409,0.1058,3.42,51900,1.2,0.23800000000000002,0.084,49.46,1,0.24,1.05,0.091,0.96,108.57,1,0.2,2019-02-01,0.593,7600000.0,110.82,2.0,-0.0007000000000000001,-0.027000000000000003,-0.07730000000000001,7333004.0,0.0207,0.0259,0.0327,1,0,1
CXO,31.56,3.55,0.002,210700000.0,0.08990000000000001,23620000000.0,19.5,5.75,-0.0698,198450000.0,-0.168,635000000.0,0.42,1.28,0.9640000000000001,0.0336,-0.2866,3860000000.0,6.11,1.3430000000000002,0.2004,3.47,-0.1843,91.2,1.23,0.16399999999999998,0.094,178.24,-0.26539999999999997,0.11,984.14,0.7506999999999999,0.141,0.0906,,10.31,-0.011000000000000001,0.057999999999999996,-0.3127,1.24,,0.5,0.073,0.863,0.2014,5.1,1203,0.5,0.9009999999999999,0.521,47.56,1,0.25,-0.375,0.41600000000000004,1.07,106.86,1,0.24,2019-01-29,0.0,1920000.0,112.1,1.9,0.0139,-0.106,-0.1941,2053248.0,0.049,0.0421,0.04769999999999999,0,1,0
D,20.74,3.48,0.0031,691270000.0,-0.014199999999999999,49920000000.0,16.9,4.27,0.0066,654420000.0,-0.038900000000000004,2270000000.0,3.11,0.94,0.695,0.034300000000000004,0.0273,13220000000.0,3.78,-0.018000000000000002,-0.0038,5.04,0.0354,28.25,2.56,0.046,0.04,76.6,-0.0645,0.45,161.02,0.0668,0.175,0.0105,3.34,,0.063,0.061,-0.0808,0.12,0.0463,0.5,-0.004,0.992,0.1736,1.75,16200,0.6,0.086,0.285,46.82,1,2.07,0.26,0.23600000000000002,1.02,70.84,1,1.74,2019-01-31,0.682,4460000.0,72.21,2.5,-0.025,-0.015300000000000001,0.0377,4566752.0,0.019299999999999998,0.022400000000000003,0.0258,1,0,0
DAL,9.25,5.17,0.002,706920000.0,-0.0537,33780000000.0,7.13,6.7,-0.10439999999999999,684020000.0,-0.2051,3610000000.0,0.55,1.28,0.9079999999999999,0.0226,-0.1202,43940000000.0,0.77,-0.11,-0.0036,2.05,-0.0298,19.98,2.39,0.2007,0.063,69.37,-0.1419,2.63,18.18,0.16820000000000002,0.268,-0.042300000000000004,1.4,6.32,0.341,0.19399999999999998,-0.2206,1.1,0.029300000000000003,0.3,0.024,0.536,0.0601,2.07,86564,0.4,0.081,0.122,35.53,1,0.68,0.183,0.079,1.46,45.61,1,0.59,2019-01-10,0.254,7520000.0,47.79,1.7,-0.0888,-0.1255,-0.1189,10995896.0,0.0478,0.0436,0.0379,1,0,0
DE,16.14,9.4,0.002,331580000.0,0.0338,50290000000.0,11.76,12.9,-0.0165,318060000.0,-0.0649,3070000000.0,0.65,1.76,0.7929999999999999,0.0215,-0.041299999999999996,37360000000.0,1.35,0.406,-0.0131,2.62,0.0858,35.25,4.3,0.12390000000000001,0.034,176.47,-0.0444,11.77,12.88,0.25,0.22899999999999998,0.0168,3.04,425.86,0.006999999999999999,0.076,-0.13449999999999998,0.91,0.02,,-0.002,0.273,0.182,5.5,74000,,0.174,0.13699999999999998,56.06,1,3.74,0.47100000000000003,0.063,0.97,144.05,1,2.41,2019-11-21,0.34,2620000.0,151.68,2.0,0.0333,0.0462,0.0379,2543109.0,0.053,0.0273,0.0364,1,0,0
DFS,7.57,8.1,0.006,343950000.0,0.041100000000000005,21080000000.0,7.09,8.65,-0.0776,333310000.0,-0.1451,2840000000.0,0.41,2.05,0.904,0.0128,-0.2143,10540000000.0,2.0,0.03,-0.015600000000000001,1.87,-0.1316,30.65,2.0,0.1061,0.023,86.1,-0.209,46.57,1.32,0.18600000000000003,0.22899999999999998,0.0392,1.6,3.99,0.775,0.114,-0.2519,1.52,0.026099999999999998,,0.746,,0.1275,2.12,16500,,0.12300000000000001,0.537,47.92,1,2.58,0.387,0.225,0.92,58.41,1,2.43,2019-01-24,0.214,2280000.0,61.29,2.0,0.0091,-0.0787,-0.1535,2093033.0,0.0493,0.0276,0.037599999999999995,0,1,0
DG,19.36,5.62,0.0014000000000000002,265250000.0,0.0217,28850000000.0,16.32,6.67,-0.0582,262519999.99999997,-0.0262,1510000000.0,1.38,1.87,,0.0215,0.036699999999999997,25100000000.0,1.15,0.013999999999999999,-0.0129,2.11,0.1085,24.03,4.53,0.10880000000000001,0.142,116.25,0.1573,0.98,110.67,0.14029999999999998,0.29,0.0064,1.16,24.8,0.095,0.146,-0.0817,0.84,0.010700000000000001,0.2,0.079,0.307,0.2716,3.16,129000,1.6,0.087,0.084,55.71,1,0.46,0.36,0.07200000000000001,1.08,107.84,1,0.46,2019-12-04,0.16699999999999998,2670000.0,108.77,2.1,0.0383,0.0002,0.0622,2868659.0,0.0086,0.02,0.0321,1,0,0
DGX,15.58,5.31,0.001,139400000.0,0.0025,11530000000.0,12.51,6.61,-0.3378,135630000.0,-0.0891,739000000.0,2.19,1.39,0.889,0.020099999999999996,-0.22149999999999997,7630000000.0,1.51,0.047,-0.0111,1.96,-0.2536,39.1,2.12,0.0378,0.08,99.81,-0.1666,1.89,43.84,0.071,0.168,-0.0067,2.12,17.6,0.038,0.09300000000000001,-0.29,0.87,0.0256,1.1,0.009000000000000001,0.369,0.047599999999999996,2.5,45000,1.2,0.018000000000000002,0.151,41.49,1,0.7,0.326,0.113,1.11,80.68,1,0.64,2019-01-22,0.301,1390000.0,82.71,2.3,-0.0231,-0.0851,-0.1913,1547387.0,0.0252,0.0199,0.026099999999999998,1,0,0
DHI,8.98,4.09,0.064,383810000.0,0.0634,14110000000.0,7.91,4.65,-0.0089,345770000.0,-0.0326,1570000000.0,0.78,0.78,0.8420000000000001,0.030899999999999997,-0.114,16070000000.0,0.88,0.493,-0.022799999999999997,1.83,-0.1108,23.86,1.54,0.0757,0.10800000000000001,43.62,-0.3048,3.84,9.58,0.1153,0.174,0.0603,0.6,48.86,0.264,0.129,-0.31079999999999997,1.11,0.0163,,0.20800000000000002,0.22899999999999998,0.1346,1.3,8437,,0.083,0.128,58.17,1,0.36,0.478,0.091,0.9,35.13,1,0.29,2019-01-25,0.129,5830000.0,36.75,2.1,0.0412,0.0327,-0.1042,5264178.0,0.0461,0.0395,0.036699999999999997,1,0,0
DHR,25.79,3.9,0.004,727730000.0,-0.0103,73100000000.0,20.84,4.82,-0.1359,619370000.0,-0.0754,2760000000.0,3.06,1.27,0.807,0.01,-0.07440000000000001,19620000000.0,3.73,0.13699999999999998,0.0049,2.13,0.0161,39.45,2.55,0.069,0.057999999999999996,115.33,0.0724,1.07,94.18,0.0842,0.102,-0.0259,0.64,28.27,0.016,0.069,-0.09390000000000001,1.02,0.0064,1.1,0.001,0.56,0.09369999999999999,3.02,67000,1.5,0.07200000000000001,0.17300000000000001,48.54,1,0.38,0.152,0.141,0.88,97.62,1,0.38,2019-01-17,0.152,2900000.0,100.45,1.8,-0.0049,-0.0103,-0.012199999999999999,2549118.0,0.028999999999999998,0.026699999999999998,0.029500000000000002,1,0,0
DIS,15.16,7.23,0.001,1550000000.0,0.028999999999999998,169470000000.0,14.72,7.45,-0.3418,1490000000.0,-0.053,10900000000.0,2.07,1.57,0.65,0.0184,-0.062400000000000004,59430000000.0,2.85,0.271,-0.0033,3.25,0.0405,32.73,3.35,0.0495,0.128,124.5,-0.023799999999999998,2.68,40.84,0.0733,0.275,-0.0004,1.76,19.75,0.16399999999999998,0.165,-0.08810000000000001,1.06,0.0161,0.9,0.057,0.449,0.12210000000000001,2.88,201000,0.9,0.12,0.259,49.44,1,0.43,0.433,0.212,1.2,106.33,1,0.35,2019-02-05,0.2,8410000.0,109.61,2.3,0.0027,-0.0292,0.0085,10070526.0,0.0308,0.0226,0.0268,0,1,1
DISCA,,-1.68,0.004,515190000.00000006,0.054900000000000004,13470000000.0,7.56,3.46,-0.19399999999999998,502470000.0,-0.073,-575000000.0,,0.79,,0.061799999999999994,-0.2155,9610000000.0,1.4,-1.5419999999999998,-0.0146,6.7,-0.054299999999999994,15.52,1.68,0.5893999999999999,-0.017,34.13,0.15560000000000002,1.03,25.36,0.07,-0.07400000000000001,0.056600000000000004,,6.83,-0.207,0.023,-0.25079999999999997,1.29,,1.0,0.08900000000000001,0.614,0.2692,1.15,7000,1.0,0.57,0.04,41.86,1,2.15,-0.358,-0.055,0.83,25.68,1,1.95,2019-02-07,,4630000.0,26.14,2.5,-0.022099999999999998,-0.1168,-0.0395,3856144.0,0.0179,0.0385,0.042199999999999994,1,0,0
DISCK,,-1.35,0.0333,,0.0633,,7.06,3.45,,449270000.0,-0.0588,,,0.8,0.853,0.0128,-0.2048,9610000000.0,,0.147,,1.75,-0.04769999999999999,12.7,1.92,0.583,,27.0,0.1336,,,0.07,,0.055,,,,,-0.22820000000000001,,,,,,0.2762,1.05,7000,,0.57,,43.09,1,,-0.46299999999999997,,0.59,23.89,1,,2019-02-07,,3280000.0,24.35,3.0,-0.0196,-0.1,-0.031200000000000002,1924980.0,0.019299999999999998,0.0373,0.042,1,0,0
DISH,10.44,2.71,0.009000000000000001,487960000.0,0.16,13800000000.0,11.49,2.46,0.059000000000000004,221220000.0,-0.153,1420000000.0,,0.67,,0.0601,-0.2177,13800000000.0,1.0,-0.436,0.0034999999999999996,3.96,-0.15710000000000002,17.63,1.6,-0.1821,0.08800000000000001,49.32,-0.42710000000000004,3.82,7.4,,0.34600000000000003,0.1326,,5.61,0.036000000000000004,0.038,-0.43189999999999995,1.34,,0.6,0.018000000000000002,0.289,0.21789999999999998,1.44,17000,0.6,-0.053,0.14,50.16,1,1.84,0.45,0.19,1.46,26.42,1,1.67,2019-02-06,0.0,3360000.0,28.28,2.6,-0.0025,-0.0658,-0.153,4906048.0,0.0704,0.0575,0.0537,1,0,0
DLPH,4.43,3.32,0.001,88740000.0,0.030899999999999997,1300000000.0,4.33,3.39,0.1003,88250000.0,-0.1573,295000000.0,1.48,0.91,0.935,0.0368,-0.5218,4980000000.0,0.26,0.237,0.0194,1.71,-0.6640999999999999,2.29,6.41,-0.1968,0.07400000000000001,22.3,-0.728,3.83,3.83,0.03,1.9680000000000002,0.025099999999999997,0.68,18.09,,0.21600000000000003,-0.7569,,0.0463,1.1,0.008,0.188,0.11380000000000001,0.87,18000,1.5,-0.038,0.09,38.45,1,7.56,-0.502,0.055999999999999994,0.57,13.93,1,7.39,2019-02-06,0.162,1890000.0,14.68,2.5,-0.0084,-0.1592,-0.5992000000000001,1071889.0,0.0538,0.06,0.0622,1,0,0
DLR,79.58,1.32,0.0005,213710000.0,0.0,22400000000.0,77.24,1.36,-0.19690000000000002,206200000.0,-0.0956,272000000.0,,0.3,,0.062,-0.0437,3000000000.0,7.47,-0.551,0.0063,8.24,-0.08539999999999999,42.58,2.46,0.003,0.013000000000000001,125.89,-0.0781,0.22,484.83,-0.0451,0.03,-0.0163,4.04,583.31,-0.077,0.025,-0.16219999999999998,0.53,0.0385,,0.14,0.6459999999999999,0.08539999999999999,3.12,1436,,0.261,0.18100000000000002,42.12,1,1.05,6.044,0.091,0.95,102.67,1,1.05,2019-01-24,2.937,1550000.0,104.81,2.0,-0.0438,-0.0499,-0.061200000000000004,1474324.0,0.0208,0.025099999999999997,0.030299999999999997,0,1,0
DLTR,18.55,5.01,0.012,238280000.0,0.0637,22130000000.0,15.98,5.81,0.0004,231370000.0,0.0718,1190000000.0,2.01,1.92,0.945,0.0216,0.1391,22980000000.0,0.96,0.281,0.0016,1.45,0.106,33.39,2.78,0.0678,0.10800000000000001,95.13,-0.1401,,,0.09230000000000001,0.233,0.0285,,31.01,0.125,0.11199999999999999,-0.20370000000000002,0.58,,0.5,0.24600000000000002,0.311,0.1791,2.45,56300,2.2,0.042,0.086,69.06,1,0.65,0.17,0.076,0.95,90.76,1,0.65,2019-11-29,0.0,3440000.0,92.89,2.2,0.0782,0.0894,0.050199999999999995,3264305.0,0.0235,0.023,0.0254,1,0,0
DNB,17.1,8.41,0.002,37540000.0,0.009000000000000001,5400000000.0,16.88,8.52,0.0,36970000.0,-0.0001,314000000.0,2.97,3.64,0.863,0.0334,0.0066,1790000000.0,3.01,1.165,-0.05,2.54,0.1405,-20.08,,0.0406,0.11199999999999999,139.5,0.2151,6.09,23.59,0.0575,-0.292,0.0073,2.09,27.18,-0.013999999999999999,0.33299999999999996,-0.0084,0.83,0.014499999999999999,0.6,0.009000000000000001,0.6809999999999999,0.3639,0.9,4900,0.6,-0.049,0.256,59.13,1,,-0.075,0.13,1.09,143.33,1,,2019-01-31,0.32899999999999996,487340.0,143.78,3.0,0.006,0.008,0.0814,531569.0,0.0031,0.0064,0.0064,0,1,0
DO,,-0.96,0.0007000000000000001,138640000.0,0.12619999999999998,1500000000.0,,-1.36,-0.0259,137340000.0,-0.1787,-131900000.0,,-0.37,,0.129,-0.4667,1200000000.0,1.25,1.052,-0.036699999999999997,7.3,-0.4487,26.64,0.41,-0.225,-0.022000000000000002,14.44,-0.4537,3.44,3.14,,-0.036000000000000004,0.1441,,12.76,-0.513,0.023,-0.5073,1.57,,3.9,-0.13,0.33899999999999997,0.23010000000000003,0.66,2400,3.9,-0.218,-0.068,49.53,1,0.0,-5.726,-0.111,1.06,10.4,1,0.54,2019-02-04,,2420000.0,10.8,3.5,0.0435,-0.1336,-0.3618,2560373.0,0.0385,0.0709,0.0663,1,0,0
DOV,16.64,4.38,0.005,151740000.0,0.0407,11070000000.0,13.0,5.61,-0.0641,142560000.0,-0.1532,677400000.0,1.21,1.29,0.966,0.0229,-0.17190000000000003,7200000000.0,1.54,0.484,-0.0012,2.06,-0.0004,18.65,3.91,0.1605,0.076,91.0,-0.1182,1.38,52.9,0.1376,0.201,0.028300000000000002,1.92,43.11,0.064,0.114,-0.1917,1.36,0.0263,0.9,0.034,0.371,0.10830000000000001,2.32,29000,1.3,0.0,0.13,44.08,1,1.19,0.035,0.10099999999999999,0.83,69.79,1,1.09,2019-01-17,0.397,1580000.0,72.96,2.5,-0.014199999999999999,-0.091,-0.08929999999999999,1313156.0,0.0454,0.027000000000000003,0.0331,1,0,0
DRE,24.09,1.06,0.001,380820000.0,-0.0113,9680000000.0,58.44,0.44,-0.0475,357530000.0,-0.1183,373800000.0,4.02,0.12,0.9640000000000001,0.014199999999999999,-0.08560000000000001,892600000.0,10.85,-0.055,-0.0002,2.34,-0.1298,13.06,1.95,-0.5693,0.067,30.53,-0.0518,0.35,72.57,0.06,0.11,-0.018500000000000003,0.81,,0.28600000000000003,0.052000000000000005,-0.1377,0.58,0.0319,,-0.057,0.643,0.0461,0.74,400,,0.19,0.502,37.77,1,0.56,0.22699999999999998,0.565,1.09,25.07,1,0.56,2019-01-23,0.5660000000000001,2160000.0,25.42,2.2,-0.056100000000000004,-0.08109999999999999,-0.0877,2354747.0,0.013999999999999999,0.0246,0.030299999999999997,0,1,0
DRI,21.27,4.77,0.002,127280000.0,0.028900000000000002,12910000000.0,16.05,6.32,-0.3221,123880000.0,-0.0786,599400000.0,1.66,1.74,0.93,0.0604,-0.0602,8300000000.000001,1.56,0.087,0.009399999999999999,4.52,-0.07980000000000001,18.38,5.52,0.1117,0.11,122.32,0.028999999999999998,1.19,85.02,0.128,0.278,0.0154,3.0,19.41,0.182,0.22,-0.18230000000000002,0.36,0.0296,0.3,0.064,0.215,0.2309,3.2,180656,0.4,0.065,0.092,48.38,1,0.0,0.409,0.07200000000000001,1.25,98.32,1,0.41,2019-12-18,0.509,1660000.0,101.4,2.1,-0.0028000000000000004,-0.0467,-0.0151,2070148.0,0.0313,0.0209,0.0323,1,0,0
DTE,14.81,7.43,0.002,190440000.0,-0.0015,20950000000.0,17.66,6.23,-0.0759,180750000.0,-0.077,1340000000.0,2.69,0.91,0.758,0.0278,0.0125,13730000000.0,1.53,0.425,0.0326,3.84,0.0344,56.08,1.96,-0.0127,0.035,117.69,0.0175,0.44,249.36,0.055,0.12300000000000001,-0.0028000000000000004,3.78,12.25,0.12300000000000001,0.07,-0.091,0.19,0.0344,1.1,0.075,,0.16699999999999998,2.34,10200,1.5,0.094,0.11800000000000001,39.64,1,1.34,0.218,0.08800000000000001,0.93,108.34,1,1.33,2019-01-23,0.516,1310000.0,109.99,2.8,-0.0392,-0.0482,0.0146,1214123.0,0.0152,0.018600000000000002,0.0223,1,0,0
DUK,21.56,3.96,0.0007000000000000001,744820000.0,-0.0069,63590000000.0,17.17,4.97,-0.0215,712360000.0,-0.047400000000000005,2800000000.0,4.89,0.91,0.613,0.0222,0.078,24210000000.0,2.63,0.139,0.009899999999999999,3.85,0.059000000000000004,60.3,1.42,0.045599999999999995,0.021,87.65,0.028900000000000002,0.47,181.67,0.0441,0.069,-0.0108,3.71,,0.087,0.047,-0.0655,0.0,0.0435,0.5,0.055999999999999994,0.696,0.1864,1.9,29060,0.7,0.023,0.21,44.83,1,1.32,0.106,0.12,0.8,84.67,1,1.17,2019-02-01,0.8740000000000001,4099999.9999999995,85.37,2.6,-0.0288,-0.011699999999999999,0.0565,3278016.0,0.0083,0.0178,0.0232,1,0,0
DVA,25.09,2.15,0.001,169710000.0,0.0655,9160000000.0,11.42,4.73,0.0,162150000.0,-0.1865,364800000.0,1.16,0.9,0.9,0.030600000000000002,-0.25429999999999997,11360000000.0,0.81,-0.322,-0.0269,2.71,-0.22039999999999998,22.93,2.35,0.318,,76.6,-0.2594,2.67,20.23,0.21600000000000003,,0.049400000000000006,,,0.046,0.08800000000000001,-0.3309,1.28,,1.8,0.057999999999999996,0.28600000000000003,0.1192,2.08,74500,1.8,0.03,,44.13,1,2.67,-0.457,,1.35,50.98,1,2.21,2019-02-06,,1830000.0,54.0,2.2,-0.0158,-0.1199,-0.1937,2471988.0,0.0592,0.030699999999999998,0.0391,0,1,0
DVN,,-1.52,0.001,488960000.0,0.0729,12010000000.0,14.35,1.71,-0.0113,456060000.0,-0.146,-802000000.0,,0.39,0.861,0.0277,-0.3956,11010000000.0,1.09,1.883,-0.0818,1.53,-0.4415,18.31,1.34,0.1024,0.059000000000000004,42.58,-0.4249,6.34,3.87,0.4788,0.182,0.0901,0.32,,0.425,0.095,-0.4721,2.05,0.013000000000000001,1.5,0.08,0.79,0.20620000000000002,1.23,4900,1.5,0.33399999999999996,-0.057999999999999996,46.03,1,0.68,2.7260000000000004,0.145,1.18,23.52,1,0.65,2019-02-05,0.08199999999999999,8260000.0,24.57,2.1,-0.0025,-0.13119999999999998,-0.33590000000000003,9714492.0,0.0446,0.047400000000000005,0.049400000000000006,0,1,0
DWDP,116.94,0.47,0.001,2360000000.0,0.0263,129400000000.0,11.56,4.73,,2280000000.0,-0.07490000000000001,1080000000.0,16.71,0.88,0.721,0.0098,-0.15,85940000000.0,1.51,-0.92,-0.0014000000000000002,1.74,-0.1716,42.72,1.28,0.1502,0.011000000000000001,74.96,-0.25079999999999997,3.09,17.7,0.07,0.021,0.023399999999999997,1.52,,,0.006999999999999999,-0.29,,0.0278,1.0,,0.22,0.1195,2.02,98000,1.6,0.311,0.026000000000000002,52.74,1,0.36,-0.35700000000000004,0.024,1.03,52.51,1,0.28,2019-01-31,1.661,12840000.0,54.73,1.9,0.0326,-0.0091,-0.1386,13289037.0,0.042300000000000004,0.0323,0.038900000000000004,1,0,1
EA,21.77,3.88,0.002,309610000.0,0.06280000000000001,26140000000.0,16.53,5.11,-0.26280000000000003,300520000.0,0.005,1200000000.0,1.66,1.94,,0.029900000000000003,-0.2747,5170000000.0,5.06,0.33,0.0115,1.79,-0.4106,17.43,4.84,0.11699999999999999,0.114,120.6,-0.23079999999999998,14.68,5.75,0.131,0.201,0.0698,,19.35,0.672,0.226,-0.44189999999999996,0.98,,,0.063,0.735,0.1422,3.19,9300,3.5,0.341,0.25,56.11,1,0.19,,0.188,1.4,78.71,1,0.19,2019-01-29,0.0,5020000.0,84.42,1.9,0.0555,-0.0171,-0.2771,7011868.0,0.0725,0.0394,0.04019999999999999,0,1,0
EBAY,12.88,2.25,0.049,979040000.0,0.0335,28360000000.0,11.17,2.59,-0.0046,915070000.0,-0.0407,2270000000.0,1.11,0.68,0.8590000000000001,0.023,-0.11539999999999999,10480000000.0,2.71,-0.6920000000000001,-0.0447,1.49,-0.2177,7.11,4.07,0.12539999999999998,-0.034,36.48,-0.2613,4.93,5.88,0.1157,-0.11199999999999999,0.0321,,16.68,-0.002,0.11,-0.3835,1.23,,1.7,-0.07400000000000001,0.775,0.11380000000000001,0.88,14100,1.7,0.06,0.21,53.24,1,1.33,0.518,-0.079,1.02,28.32,1,1.11,2019-01-29,,14190000.0,28.97,2.4,0.019799999999999998,0.0129,-0.16140000000000002,14441336.0,0.023,0.0281,0.0327,0,1,0
